Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
Bi1Cl3O3Sr3,80637,orc,oP40,40,4.03,6.35,9.75,13.54,11.06,6.63,8.83,17.72,13.95,10.43,10.74,20.68
Bi1Cl3,2866,orc,oP16,16,2.55,4.34,4.25,2.13,2.87,0.13,0.13,8.34,5.41,0.26,3.27,12.68
Bi1Cl4N3S4,9460,tri(1b),aP24,24,2.04,3.67,9.04,8.34,3.38,0.40,0.70,9.05,4.32,2.02,2.62,8.31
Bi1Cs1O2,406564,mclc(5),mS16,8,2.37,4.11,0.97,3.88,1.11,0.75,0.97,1.61,1.98,1.20,2.24,2.49
Bi1Cs1S2,72975,mcl,mP16,16,1.68,3.17,3.31,0.73,0.78,0.13,0.77,1.45,5.92,2.28,6.09,9.39
Bi1Cs1S4Si1,281169,mcl,mP28,28,2.43,4.18,0.84,1.89,9.14,0.99,5.64,20.78,8.41,2.18,5.79,17.26
Bi1Cs2F6Tl1,9385,fcc,cF40,10,2.82,4.71,0.56,0.39,1.12,1.12,1.12,1.12,0.42,0.42,0.42,0.42
Bi1Cs3O3,406563,cub,cP28,28,3.11,5.11,1.48,2.60,18.44,17.09,18.70,19.54,16.48,16.07,16.36,17.02
Bi1Cs3Se3,85410,cub,cP28,28,2.09,3.74,1.81,4.48,6.37,6.34,6.37,6.41,9.63,9.52,9.59,9.77
Bi1F1O1,24096,tet,tP6,6,3.13,5.13,0.50,10.98,0.38,0.21,0.46,0.46,1.42,0.72,0.72,2.82
Bi1F3,1269,orc,oP16,16,4.71,7.27,1.58,1.88,10.45,4.86,12.89,13.59,5.46,3.27,5.70,7.42
Bi1F3,24522,fcc,cF16,4,3.96,6.24,0.39,2.27,1.00,1.00,1.00,1.00,7.02,7.02,7.02,7.02
Bi1F3,25567,cub,cP16,16,3.96,6.25,0.45,1.90,2.70,2.70,2.70,2.70,14.42,14.42,14.42,14.42
Bi1Ga1O3,171709,orc,oP20,20,1.92,3.50,0.35,1.58,0.75,0.40,0.86,0.99,5.49,3.45,5.07,7.94
Bi1H1O12P4,1967,tri(1b),aP36,36,5.00,7.65,3.27,52.81,7.10,4.90,7.48,8.91,7.82,2.78,7.34,13.35
Bi1I1O2Sr1,97510,orcc,oS20,10,2.89,4.81,1.03,2.48,0.74,0.11,0.90,1.19,2.39,0.35,3.00,3.81
Bi1I1O3Te1,56218,mcl,mP24,24,2.34,4.06,0.68,6.53,4.21,0.17,5.28,7.18,8.53,1.32,1.39,22.88
Bi1I1Se1,280311,orc,oP12,12,1.61,3.08,1.86,0.41,1.22,0.53,0.74,2.38,3.44,2.40,3.80,4.10
Bi1I1,1558,mclc(1),mS32,16,0.88,2.10,0.41,1.10,0.51,0.04,0.56,0.93,2.34,0.66,2.51,3.86
Bi1I3,26083,rhl(1),hR8,8,2.52,4.30,1.00,3.83,1.70,1.35,1.84,1.90,4.68,2.99,5.43,5.61
Bi1I6Tl3,417537,mcl,mP40,40,2.48,4.26,0.43,1.52,9.69,7.40,8.58,13.08,7.05,4.53,7.52,9.10
Bi1In1O3,158758,cub,cP5,5,0.23,1.22,0.26,11.71,0.22,0.22,0.22,0.22,1.79,1.79,1.79,1.79
Bi1In1O3,171756,orc,oP20,20,2.91,4.83,0.71,3.69,8.26,6.74,7.28,10.76,14.62,11.58,11.89,20.39
Bi1In1O3,171757,orc,oP20,20,2.49,4.27,0.46,3.57,3.63,2.56,3.47,4.85,8.14,7.55,7.64,9.23
Bi1K3,58793,fcc,cF16,4,0.17,1.15,0.10,3.65,0.07,0.07,0.07,0.07,3.35,3.35,3.35,3.35
Bi1Li3O4,109087,tet,tP32,32,1.16,2.48,0.50,36.51,5.20,3.09,6.23,6.28,18.34,10.94,11.07,33.02
Bi1Li3,58797,fcc,cF16,4,0.37,1.41,0.32,0.68,0.22,0.22,0.22,0.22,0.87,0.87,0.87,0.87
Bi1Mg2O6P1,73894,orcc,oS40,20,3.67,5.86,2.88,6.15,4.09,0.17,4.98,7.13,11.52,3.55,10.20,20.81
Bi1Na1O2,10317,mclc(5),mS16,8,1.19,2.52,0.76,1.06,0.11,0.02,0.12,0.20,0.38,0.23,0.34,0.57
Bi1Na1O3,27553,rhl(1),hR10,10,1.15,2.46,0.38,5.92,1.60,1.15,1.39,2.24,9.44,7.65,10.28,10.39
Bi1Na3O4,10319,mcl,mP16,16,1.03,2.31,0.38,4.76,1.02,0.44,1.12,1.50,10.95,4.43,9.08,19.35
Bi1Nb1O4,10247,tri(1b),aP24,24,2.64,4.48,1.47,7.93,9.29,3.29,3.94,20.63,2.76,0.50,3.82,3.96
Bi1Nb1O4,74338,orc,oP24,24,2.96,4.91,1.21,2.75,8.58,7.48,8.03,10.23,4.70,2.17,4.15,7.79
Bi1O3Sc1,171384,mclc(1),mS40,20,2.71,4.56,0.55,1.23,1.21,0.52,0.97,2.13,12.55,10.40,12.29,14.95
Bi1O3Sc1,171385,mclc(1),mS40,20,2.72,4.58,0.56,1.26,0.86,0.68,0.78,1.12,9.75,8.71,9.12,11.43
Bi1O3Sr1,85173,mcl,mP20,20,0.18,1.15,0.90,2.70,6.19,2.40,7.52,8.66,10.67,8.14,9.98,13.89
Bi1O4P1,60522,mcl,mP12,12,3.90,6.17,1.00,1.02,1.81,0.59,1.81,3.03,8.93,7.79,8.57,10.43
Bi1O4Sb1,35478,mclc(1),mS24,12,0.46,1.53,0.41,2.14,0.89,0.22,1.20,1.25,2.91,1.63,2.47,4.62
Bi1O4Ta1,415849,tri(1b),aP24,24,2.99,4.95,3.33,5.01,8.22,3.72,4.45,16.49,3.02,1.24,3.11,4.69
Bi1O4Ta1,97423,orc,oP24,24,3.00,4.96,1.31,3.01,3.38,1.99,3.65,4.49,6.04,0.42,5.47,12.24
Bi1O5P1Pb1,419125,tri(1b),aP16,16,3.38,5.47,0.56,11.32,1.61,0.70,0.98,3.14,5.41,4.61,4.83,6.80
Bi1O6P1Zn2,91234,orc,oP40,40,3.25,5.29,2.55,3.07,6.37,0.04,8.41,10.67,7.18,1.10,1.74,18.69
Bi1O8P1Pb4,50649,tri(1b),aP28,28,2.56,4.36,1.33,8.80,2.34,1.20,1.52,4.29,13.45,10.32,14.20,15.85
Bi24Ge2O40,68431,bcc,cI66,33,2.44,4.21,1.36,1.02,2.35,2.35,2.35,2.35,8.60,8.60,8.60,8.60
Bi24O40Pb2,75392,bcc,cI66,33,1.53,2.97,1.68,0.89,6.35,6.35,6.35,6.35,8.54,8.54,8.54,8.54
Bi24O40Si2,27153,bcc,cI66,33,2.41,4.16,0.94,1.09,2.10,2.10,2.10,2.11,12.63,12.62,12.63,12.63
Bi24O40Ti2,75389,bcc,cI66,33,2.37,4.11,0.78,1.15,3.09,3.09,3.09,3.09,10.51,10.51,10.51,10.51
Bi2Br1In1Se4,159465,mclc(1),mS32,16,1.29,2.65,0.97,0.84,1.33,0.57,1.68,1.74,6.44,3.58,5.63,10.12
Bi2Br1Lu1O4,92423,tet,tP8,8,1.28,2.64,0.23,0.76,0.20,0.15,0.23,0.23,4.53,4.37,4.37,4.84
Bi2Br1O4Y1,92418,tet,tP8,8,1.33,2.71,0.28,1.44,0.27,0.21,0.30,0.30,1.68,1.39,1.39,2.25
Bi2Br8Te4,83806,tri(1b),aP14,14,1.04,2.32,2.10,1.74,8.88,1.56,2.11,22.96,14.50,3.71,6.06,33.74
Bi2C2Ca1O8,94741,orci,oI26,13,1.06,2.34,0.54,1.88,0.72,0.10,0.54,1.53,3.37,0.41,0.58,9.11
Bi2Cd1Cs2S5,97427,orc,oP40,40,1.74,3.25,3.02,1.90,2.21,0.44,1.36,4.85,12.33,5.43,10.10,21.48
Bi2Cd1Ge1O6,82157,orc,oP40,40,1.91,3.49,0.38,2.06,2.54,1.68,2.63,3.31,14.01,7.36,7.95,26.72
Bi2Cl1In1S4,484,mclc(1),mS16,8,1.88,3.45,0.47,0.74,0.18,0.05,0.22,0.29,3.75,2.98,3.94,4.33
Bi2Cl1Lu1O4,92410,tet,tP8,8,1.28,2.65,0.24,1.96,0.14,0.11,0.15,0.15,3.14,1.95,1.95,5.51
Bi2Cl1O4Yb1,92409,tet,tP8,8,0.14,1.09,3.42,1.33,0.23,0.16,0.26,0.26,3.42,3.30,3.48,3.48
Bi2Cs3I9,1448,hex,hP28,28,2.07,3.70,0.38,1.73,1.84,1.27,1.77,2.49,3.76,2.64,3.03,5.60
Bi2Ga2In4S12,410032,mcl,mP20,20,1.85,3.40,0.52,1.47,1.87,0.68,1.01,3.92,5.21,3.57,4.58,7.49
Bi2Ga4O9,20068,orc,oP30,30,2.91,4.84,0.90,3.67,7.54,2.58,9.60,10.45,18.67,13.55,14.59,27.88
Bi2Ge1O5,65522,orc,oP32,32,2.32,4.04,0.62,22.00,2.49,0.33,1.26,5.86,5.97,0.10,2.77,15.04
Bi2Ge3O9,100277,hex,hP28,28,2.98,4.93,1.16,1.72,2.35,1.63,1.88,3.52,4.19,3.78,4.12,4.67
Bi2I1La1O4,92424,tet,tP8,8,1.21,2.54,0.29,2.96,0.43,0.14,0.57,0.57,2.56,1.34,3.18,3.18
Bi2I1O4Y1,92432,tet,tP8,8,1.39,2.79,0.25,6.28,0.16,0.11,0.18,0.18,2.70,2.66,2.66,2.77
Bi2In4S9,2839,mcl,mP30,30,1.63,3.11,0.57,2.13,1.56,0.72,0.82,3.14,7.70,6.93,7.40,8.77
Bi2Mo1O6,17070,orc,oP36,36,0.42,1.48,0.90,0.74,3.64,0.41,3.47,7.03,25.72,17.51,28.92,30.74
Bi2Mo1O6,37251,orcc,oS36,18,0.36,1.40,0.82,0.63,3.08,0.06,3.06,6.14,9.45,8.11,9.08,11.16
Bi2Nb2O9Pb1,20668,orcf(2),oF56,14,0.72,1.88,1.06,1.91,0.83,0.16,0.78,1.53,8.37,5.52,7.19,12.41
Bi2O10Te2W1,78917,mclc(1),mS60,30,2.87,4.78,0.95,4.19,8.57,5.17,9.10,11.43,6.58,3.72,7.44,8.58
Bi2O11Ti4,79769,mclc(1),mS34,17,2.35,4.09,0.70,1.09,2.29,1.39,1.54,3.92,2.71,1.97,2.01,4.14
Bi2O2S1,29451,orc,oP10,10,0.82,2.03,0.23,4.48,0.24,0.04,0.26,0.42,8.26,1.01,10.99,12.77
Bi2O3,2374,mcl,mP20,20,2.25,3.95,1.26,1.28,3.24,1.32,2.93,5.47,5.13,3.32,4.94,7.12
Bi2O3,27152,bcc,cI60,30,1.84,3.39,0.41,6.10,1.01,1.01,1.01,1.01,14.34,14.34,14.34,14.34
Bi2O4Sr1,80668,mclc(1),mS28,14,2.69,4.54,2.16,2.54,1.74,0.02,2.31,2.88,3.54,2.26,3.25,5.12
Bi2O4,79500,mclc(1),mS24,12,1.18,2.51,1.17,37.48,1.56,1.16,1.62,1.91,7.05,4.17,4.27,12.73
Bi2O5Sr2,86415,orc,oP36,36,2.27,3.97,2.11,2.93,11.21,3.57,7.24,22.83,7.23,1.06,4.11,16.51
Bi2O6Te1,6239,orcc,oS36,18,1.23,2.57,0.48,5.61,0.58,0.28,0.66,0.82,6.94,5.67,5.82,9.34
Bi2O9Si3,155234,hex,hP28,28,3.61,5.79,1.22,2.96,2.49,1.79,2.20,3.47,4.90,2.93,3.41,8.35
Bi2O9Sr1Ta2,97041,bct(2),tI28,14,2.06,3.70,0.66,1.39,1.03,0.32,1.39,1.39,4.73,1.73,6.19,6.25
Bi2Se3,20385,rhl(1),hR5,5,0.56,1.66,0.20,0.66,0.78,0.13,1.08,1.13,0.76,0.60,0.61,1.08
Bi2Te3,15753,rhl(1),hR5,5,0.09,1.03,0.15,0.20,0.17,0.13,0.17,0.20,1.88,0.80,2.28,2.57
Bi3Br1Se4,411096,mclc(1),mS32,16,1.06,2.34,0.61,0.88,1.03,0.51,0.82,1.76,3.00,1.30,3.23,4.46
Bi3F6N1,79395,orc,oP40,40,2.83,4.73,1.24,9.21,3.44,1.83,2.45,6.05,21.12,2.08,2.51,58.77
Bi3O7Sb1,51779,tri(1b),aP22,22,2.19,3.87,1.84,2.80,3.02,1.69,3.40,3.97,7.97,5.47,6.86,11.58
Bi4Cl16Te14,391157,tri(1b),aP34,34,0.53,1.63,0.36,0.34,2.50,0.00,0.01,7.48,2.48,0.07,0.13,7.24
Bi4Ge1Te7,42891,hex,hP12,12,0.55,1.65,0.20,0.35,0.81,0.03,0.32,2.07,0.73,0.53,0.61,1.04
Bi4O11Ta2,50601,tri(1b),aP34,34,2.84,4.75,1.18,6.88,7.65,5.39,5.95,11.62,10.16,3.28,4.88,22.31
Bi4O12Si3,26787,bcc,cI76,38,3.92,6.20,1.50,1.65,17.33,16.76,17.06,18.16,10.42,9.90,10.51,10.85
Bi4O7,51778,tri(1b),aP22,22,1.01,2.27,3.59,1.68,1.82,1.25,1.71,2.51,8.54,6.09,6.51,13.02
Br10O1Ta2Te4,401906,tri(1b),aP17,17,1.01,2.28,2.97,3.80,2.99,2.09,2.78,4.11,3.23,2.24,3.10,4.34
Br12Ta2Te4,401905,tri(1b),aP18,18,1.15,2.47,7.04,9.74,1.47,0.32,1.94,2.17,2.50,1.97,2.11,3.43
Br1C3H10N1,171150,mcl,mP30,30,4.76,7.33,1.06,9.39,8.06,3.43,6.40,14.34,14.36,9.70,10.41,22.95
Br1Ca1H1,25542,tet,tP6,6,4.14,6.49,1.01,3.93,0.33,0.04,0.48,0.48,2.23,1.22,2.73,2.73
Br1Cd1S2Sb1,171723,mclc(1),mS20,10,1.57,3.04,0.99,1.25,0.50,0.21,0.43,0.87,2.60,0.70,2.78,4.32
Br1Cd2P3,100817,mclc(4),mS24,12,1.17,2.49,0.40,0.58,0.47,0.34,0.39,0.69,0.94,0.52,0.54,1.76
Br1Ce2S5Sb1,51484,orc,oP36,36,1.46,2.88,9.89,3.61,6.87,3.15,3.59,13.88,9.83,8.29,8.37,12.83
Br1Cs1,22174,cub,cP2,2,4.42,6.88,0.32,1.98,0.06,0.06,0.06,0.06,1.73,1.73,1.73,1.73
Br1Cs1,61516,fcc,cF8,2,4.33,6.75,0.38,3.32,0.05,0.05,0.05,0.05,3.04,3.04,3.04,3.04
Br1Cu1,78280,fcc,cF8,2,0.90,2.12,0.20,0.76,0.08,0.08,0.08,0.08,2.11,2.11,2.11,2.11
Br1F1Pb1,30288,tet,tP6,6,2.59,4.40,0.46,1.07,0.27,0.17,0.17,0.47,2.99,0.46,4.25,4.25
Br1F1Sr1,35392,tet,tP6,6,5.01,7.66,0.34,3.05,0.35,0.13,0.46,0.46,3.62,1.47,4.69,4.69
Br1F3,31689,orcc,oS16,8,2.15,3.81,2.75,2.28,2.81,0.74,3.65,4.05,1.29,0.84,1.16,1.86
Br1F5Sn3,1383,mcl,mP36,36,3.22,5.26,1.01,2.49,9.74,5.57,10.39,13.25,7.67,7.13,7.47,8.41
Br1F5,31690,orcc,oS24,12,3.44,5.54,5.29,3.74,6.04,1.59,1.78,14.75,4.93,1.26,3.47,10.05
Br1F8Sb1,9886,orc,oP40,40,2.67,4.51,5.45,9.22,9.62,3.61,4.39,20.86,14.03,8.30,8.47,25.32
Br1Gd1O1,41071,tet,tP6,6,4.34,6.76,0.48,2.23,2.95,2.82,2.95,3.08,2.57,2.08,2.66,2.96
Br1H1Sr1,25543,tet,tP6,6,3.80,6.04,0.52,1.62,0.35,0.14,0.45,0.45,1.67,0.92,2.04,2.04
Br1H1,28842,bct(1),tI4,2,1.32,2.69,7.47,2.47,1.90,0.06,0.13,5.52,2.33,2.10,2.14,2.76
Br1H4P1,23691,tet,tP12,12,4.03,6.34,0.47,2.01,1.01,0.47,1.28,1.28,11.38,10.28,10.45,13.43
Br1Hg1I1,109010,orcc,oS12,6,2.30,4.01,0.54,2.65,0.50,0.30,0.38,0.82,4.17,1.81,3.87,6.82
Br1Hg2P3,74770,orc,oP24,24,0.94,2.18,0.35,0.55,1.30,0.88,1.48,1.55,3.17,2.67,3.28,3.54
Br1In1Sb2Se4,159466,mclc(1),mS32,16,1.11,2.41,0.42,0.56,2.94,0.44,0.48,7.89,2.72,1.61,2.81,3.74
Br1In1Te1,100705,mcl,mP12,12,1.84,3.40,0.35,1.21,0.89,0.24,0.39,2.04,1.99,0.85,1.12,4.00
Br1In1,23126,orcc,oS8,4,1.14,2.45,0.18,0.35,0.08,0.05,0.08,0.11,0.27,0.09,0.22,0.51
Br1K1,18015,fcc,cF8,2,4.32,6.74,0.40,2.58,0.13,0.13,0.13,0.13,0.80,0.80,0.80,0.80
Br1K1,61556,cub,cP2,2,3.89,6.16,0.35,2.46,0.04,0.04,0.04,0.04,0.93,0.91,0.92,0.94
Br1K3O1,33920,cub,cP5,5,0.89,2.11,0.38,2.35,3.19,3.19,3.19,3.19,2.39,2.34,2.36,2.47
Br1La1O1,24612,tet,tP6,6,4.17,6.54,0.56,1.53,0.32,0.25,0.35,0.35,3.24,2.67,2.67,4.38
Br1La1O7Pb6,249390,orcc,oS60,30,1.94,3.52,0.42,2.14,1.81,0.40,1.74,3.30,4.97,0.93,6.81,7.17
Br1Li1,27982,fcc,cF8,2,5.14,7.84,0.37,3.23,0.38,0.38,0.38,0.38,1.73,1.73,1.73,1.73
Br1Lu1O1,249338,tet,tP6,6,4.28,6.68,0.99,1.30,0.70,0.18,0.95,0.95,1.26,0.98,0.98,1.81
Br1Mo1Te4,82245,tri(1b),aP12,12,0.86,2.07,1.95,1.23,1.86,0.49,0.92,4.15,2.68,2.21,2.76,3.07
Br1Na1,18013,fcc,cF8,2,4.08,6.42,0.33,3.17,0.33,0.33,0.33,0.33,1.07,1.07,1.07,1.07
Br1O1Rb3,77196,cub,cP5,5,0.41,1.46,0.34,2.13,0.20,0.20,0.20,0.20,3.48,3.48,3.48,3.49
Br1Rb1,18017,fcc,cF8,2,4.20,6.58,0.40,2.96,0.20,0.20,0.20,0.20,1.59,1.59,1.59,1.59
Br1Rb1,61522,cub,cP2,2,3.94,6.22,0.34,2.67,0.01,0.01,0.01,0.01,1.49,1.35,1.37,1.75
Br1S1Sb1,61802,orc,oP12,12,1.77,3.30,0.93,0.86,1.59,0.30,1.25,3.22,5.05,3.92,4.43,6.80
Br1Tl1,109144,orcc,oS8,4,2.16,3.82,0.27,0.36,0.31,0.22,0.35,0.37,0.50,0.14,0.16,1.19
Br1Tl1,61519,fcc,cF8,2,2.22,3.91,0.34,0.43,0.14,0.14,0.14,0.14,0.16,0.16,0.16,0.16
Br2C1O3Pb2,29114,tet,tP32,32,2.81,4.70,0.55,33.00,4.12,1.37,3.60,7.40,7.42,6.69,6.69,8.90
Br2C1Se4,38387,orc,oP28,28,1.51,2.95,1.76,5.01,5.10,0.39,0.55,14.35,7.01,3.07,4.84,13.11
Br2Ca1,14220,orc,oP6,6,4.53,7.02,0.95,5.82,1.29,0.63,1.12,2.13,2.04,1.69,1.75,2.67
Br2Ca3Si1,89538,orci,oI12,6,0.32,1.34,0.57,1.22,0.50,0.40,0.51,0.58,0.98,0.09,0.25,2.61
Br2Cl6I3Sb1,26404,tri(1b),aP12,12,1.11,2.41,1.86,8.15,2.98,0.50,3.18,5.25,3.12,0.36,3.33,5.68
Br2Cr1,23903,mclc(1),mS6,3,1.70,3.20,0.71,3.51,1.67,0.29,1.34,3.40,1.62,0.73,0.90,3.23
Br2Cs1F1,69124,tet,tP4,4,1.75,3.27,2.13,4.51,1.28,0.02,0.02,3.79,1.65,1.31,1.31,2.33
Br2F10Ge1,321,mcl,mP26,26,2.84,4.74,2.32,23.93,4.34,2.69,3.79,6.55,13.87,0.75,10.00,30.85
Br2Ge1,100088,mcl,mP24,24,2.55,4.34,0.95,1.22,1.22,0.22,1.46,1.97,4.15,0.98,4.66,6.81
Br2Hg1,30290,orcc,oS12,6,2.55,4.35,0.57,13.66,0.18,0.15,0.19,0.20,4.85,4.67,4.68,5.18
Br2Hg2O6,31925,mclc(1),mS40,20,3.16,5.17,6.47,13.04,9.08,3.30,4.18,19.77,87.23,4.80,11.37,245.53
Br2Hg2Pb1S2,85585,mcl,mP28,28,2.13,3.79,1.04,4.01,3.48,2.12,4.05,4.27,5.09,3.94,4.47,6.86
Br2Hg2S2Sn1,82329,mcl,mP28,28,1.30,2.66,3.01,7.36,4.69,1.23,2.14,10.70,7.93,0.69,2.70,20.41
Br2Hg2,36196,bct(2),tI8,8,2.17,3.84,0.15,1.49,0.63,0.25,0.25,1.40,2.22,1.02,2.82,2.83
Br2Hg3Te2,27402,bcc,cI28,14,1.73,3.25,0.30,2.33,0.70,0.70,0.70,0.70,11.85,11.85,11.85,11.85
Br2Li5N1,78836,orci,oI16,8,2.08,3.71,0.37,8.50,2.13,0.57,2.05,3.76,4.50,0.61,2.15,10.73
Br2Nb1Se2,202821,tri(1b),aP10,10,1.10,2.39,3.63,3.51,2.22,1.58,1.77,3.30,2.39,1.14,2.57,3.45
Br2Nb1Se2,202822,mclc(3),mS20,10,1.11,2.40,7.03,2.38,3.95,1.23,3.51,7.11,2.63,1.52,2.77,3.61
Br2O1S1,62972,orc,oP32,32,2.70,4.55,4.54,9.26,9.66,4.42,6.62,17.94,10.23,5.85,9.86,14.98
Br2O1,50198,orc,oP12,12,1.50,2.94,4.59,5.96,3.98,1.51,3.57,6.86,9.98,0.64,0.99,28.30
Br2O2Pb3,82923,orc,oP28,28,2.41,4.16,0.61,1.50,3.52,0.86,4.08,5.63,10.76,5.71,10.22,16.34
Br2O3,78369,mcl,mP40,40,1.76,3.29,5.02,10.29,9.51,4.57,8.21,15.76,6.75,4.67,7.57,8.02
Br2O5Sb4,24030,mcl,mP22,22,2.37,4.11,1.41,0.68,3.77,0.94,3.93,6.43,2.47,1.09,1.80,4.53
Br2S2,37020,orcc,oS16,8,2.21,3.90,6.31,1.41,3.45,0.85,4.01,5.49,4.85,1.03,5.05,8.45
Br2Se2,37017,mcl,mP16,16,1.75,3.27,2.22,4.33,4.42,1.09,4.01,8.17,3.38,0.49,4.32,5.33
Br2Se2,37019,orcc,oS16,8,1.49,2.92,1.87,1.33,1.03,0.34,1.19,1.56,3.08,0.73,4.24,4.26
Br2Sn1,411177,orc,oP12,24,2.62,4.45,1.84,4.28,7.26,1.70,2.44,17.65,4.61,0.16,3.22,10.46
Br2Sr1,15972,orc,oP12,12,4.30,6.71,0.72,17.80,0.43,0.13,0.58,0.59,4.84,0.08,4.28,10.17
Br2Yb1,26045,orc,oP6,6,3.06,5.03,0.31,3.96,1.87,0.32,0.38,4.91,7.38,5.97,6.40,9.76
Br2,24019,orcc,oS8,4,1.29,2.65,5.98,4.08,1.20,0.02,1.43,2.15,2.30,0.10,1.61,5.20
Br3C1F1,72369,orc,oP20,20,3.25,5.29,1.81,7.16,5.01,1.04,2.23,11.77,8.35,3.06,8.46,13.54
Br3C2H8Hg1N1,110527,mcl,mP30,30,2.53,4.32,1.03,8.50,1.83,1.37,1.52,2.59,13.06,1.11,1.98,36.09
Br3Ca1Cs1,77242,cub,cP5,5,4.39,6.84,0.35,4.56,0.20,0.07,0.11,0.41,1.71,1.51,1.52,2.09
Br3Ca1In1,54138,orcc,oS20,10,3.10,5.09,0.48,1.48,2.42,0.72,1.66,4.87,0.99,0.55,1.20,1.24
Br3Cd1Cs1,24483,cub,cP5,5,1.07,2.35,0.19,6.39,0.14,0.14,0.14,0.14,2.38,2.37,2.39,2.39
Br3Cd1H4N1,71849,orc,oP36,36,2.65,4.49,0.32,1.48,0.90,0.54,0.60,1.57,15.57,4.90,20.81,21.01
Br3Cd1In1,79512,orc,oP20,20,2.21,3.89,3.18,1.77,4.36,3.42,4.02,5.62,1.84,0.28,2.14,3.08
Br3Cd1Tl1,39808,orc,oP20,20,2.75,4.63,2.22,2.71,4.42,2.04,3.09,8.12,1.85,0.20,2.05,3.29
Br3Ce1,31582,hex,hP8,8,1.38,2.78,20.70,7.18,1.78,0.01,0.01,5.31,5.93,4.56,6.50,6.72
Br3Cs1Pb1,109295,cub,cP5,5,1.75,3.27,0.55,0.22,0.34,0.33,0.33,0.34,0.02,0.02,0.02,0.02
Br3Cs1Pb1,29073,cub,cP5,5,1.50,2.93,0.43,0.18,0.36,0.36,0.36,0.36,0.03,0.03,0.03,0.03
Br3Cs1Yb1,77243,cub,cP5,5,2.96,4.90,0.32,4.61,0.09,0.09,0.09,0.09,5.50,5.41,5.54,5.56
Br3Ga1Li1,61338,mcl,mP20,20,2.99,4.94,1.10,9.09,1.54,0.75,1.77,2.11,7.49,2.20,2.43,17.84
Br3Ga1,413456,mcl,mP16,16,3.24,5.28,0.59,3.07,0.49,0.35,0.53,0.58,6.28,3.42,7.07,8.35
Br3Gd1,2610,mclc(3),mS16,8,3.80,6.04,1.63,3.41,3.76,1.74,4.65,4.88,4.25,3.92,4.26,4.57
Br3Gd2N1,402278,tri(1b),aP24,24,3.03,5.00,2.85,12.20,4.25,3.90,4.03,4.81,3.30,0.99,2.45,6.46
Br3Gd2,9581,mclc(1),mS20,10,0.15,1.11,0.88,1.62,1.90,0.91,1.81,2.97,2.30,0.87,1.09,4.94
Br3Hg3Sb2Tl1,411521,orc,oP36,36,0.64,1.77,0.20,0.54,1.56,0.93,1.52,2.23,1.12,0.35,1.30,1.71
Br3In1Mg1,402533,orc,oP20,20,1.97,3.57,3.08,2.54,1.82,0.07,1.11,4.27,2.33,0.69,2.40,3.91
Br3In1,65198,mclc(3),mS16,8,2.61,4.43,0.49,1.95,0.30,0.12,0.27,0.50,6.73,2.97,7.46,9.76
Br3Ir1,14212,mclc(3),mS16,8,2.04,3.66,2.65,2.12,2.80,1.10,3.54,3.74,3.13,0.86,3.66,4.87
Br3La1,65478,hex,hP8,8,3.56,5.72,1.49,2.15,2.49,1.69,1.87,3.90,2.64,2.12,2.69,3.12
Br3Li6N1,16798,fcc,cF40,10,2.09,3.73,0.35,2.90,1.24,1.24,1.24,1.24,8.01,8.01,8.01,8.01
Br3Li6N1,84092,mcl,mP20,20,0.42,1.47,0.80,1.20,2.75,0.53,0.70,7.01,8.58,2.28,2.96,20.51
Br3Mo1Te6,82246,tri(1b),aP40,40,1.26,2.61,2.49,0.76,5.89,2.90,4.52,10.25,6.52,2.11,4.22,13.24
Br3Nb1Se1,75362,mcl,mP20,20,0.96,2.20,2.17,1.76,4.06,0.98,2.37,8.83,2.98,2.55,3.12,3.26
Br3O1P1,23243,orc,oP20,20,3.08,5.07,1.14,8.92,2.07,1.53,1.58,3.10,10.33,4.29,8.02,18.67
Br3O1P1,9137,orc,oP20,20,3.06,5.04,1.13,7.30,2.86,1.75,3.11,3.73,9.34,3.68,6.87,17.46
Br3P1,8052,orc,oP16,16,3.28,5.33,2.44,2.74,4.07,2.42,4.24,5.55,4.94,2.34,5.86,6.62
Br3Sb1,14217,orc,oP16,16,3.27,5.32,1.77,5.90,5.36,1.89,6.70,7.49,5.61,1.85,2.15,12.85
Br3Ti1,39784,tri(1b),aP8,8,2.41,4.16,3.11,3.48,2.47,0.41,2.35,4.65,3.15,2.33,3.19,3.93
Br4C1N2S3,32746,orc,oP40,40,1.27,2.62,11.35,13.45,10.12,8.98,9.40,11.97,8.31,7.40,8.20,9.34
Br4C8O8W2,49689,mclc(1),mS44,22,1.88,3.44,8.89,6.31,4.58,2.34,4.69,6.71,4.43,2.67,4.32,6.31
Br4Cd1Cs2,40416,orc,oP28,28,3.56,5.71,0.38,3.82,0.65,0.52,0.59,0.83,7.29,1.72,2.00,18.15
Br4Cs2Hg1,200910,orc,oP28,28,2.70,4.56,0.46,4.66,2.38,1.59,1.97,3.57,7.35,1.39,1.69,18.98
Br4Ga2,62665,orc,oP24,24,2.95,4.89,0.93,2.05,2.84,2.30,2.76,3.46,7.52,4.89,5.69,11.97
