Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As1Bi1O4,27199,mcl,mP24,24,1.76,3.28,3.80,0.76,3.58,0.19,3.19,7.35,9.66,1.95,8.40,18.62
As1Bi1O5Pb1,419124,mclc(1),mS32,16,2.30,4.02,0.67,3.17,1.18,0.24,0.34,2.97,3.44,1.24,3.73,5.33
As1Br1Hg3O4,411758,cub,cP36,36,1.86,3.43,0.61,1.87,9.59,9.44,9.50,9.81,10.28,10.28,10.28,10.29
As1Br3Ca3,426,cub,cP7,7,1.66,3.15,0.58,0.50,0.93,0.92,0.93,0.93,0.79,0.79,0.79,0.79
As1Br3F6,33811,tri(1b),aP20,20,1.62,3.09,2.31,3.85,4.68,0.85,4.04,9.15,3.14,2.44,3.34,3.63
As1Br3,24579,orc,oP16,16,3.14,5.14,2.17,4.10,4.94,2.71,3.37,8.75,5.52,2.24,2.77,11.54
As1C1F6H5O1,408996,mcl,mP28,28,5.03,7.69,3.00,13.41,4.78,0.33,6.48,7.53,15.82,8.61,10.91,27.95
As1C3H6N1,170721,tri(1b),aP22,22,4.36,6.79,1.55,3.09,5.29,0.94,6.73,8.21,3.51,2.18,2.33,6.01
As1Ca1F1Mg1O4,26000,mclc(3),mS32,16,3.91,6.18,0.49,4.81,2.48,1.22,2.29,3.93,9.22,5.76,10.25,11.66
As1Ca1F1Mg1O4,56862,mclc(3),mS32,16,3.91,6.18,0.49,4.64,0.26,0.20,0.27,0.30,10.30,7.83,10.14,12.93
As1Ca2Cl1O4,26234,orc,oP32,32,3.80,6.03,0.52,8.49,0.66,0.38,0.60,1.01,11.41,0.11,1.08,33.03
As1Ca3Cl3,36002,cub,cP7,7,1.84,3.39,0.64,0.52,0.95,0.95,0.95,0.95,0.67,0.67,0.67,0.67
As1Cd1Ce1O1,88268,tet,tP8,8,1.12,2.42,0.23,1.35,1.63,1.13,1.13,2.65,1.87,0.55,2.53,2.53
As1Cd1,432,orc,oP16,16,0.16,1.13,0.19,0.30,3.07,1.47,2.72,5.03,1.46,0.73,1.01,2.65
As1Cd2Cl2,26013,mcl,mP20,20,1.10,2.39,0.37,0.31,0.91,0.59,0.96,1.18,1.52,0.69,1.75,2.12
As1Cd3Cl3,23306,orc,oP28,28,1.49,2.92,0.21,1.25,0.07,0.05,0.07,0.09,6.89,5.06,5.25,10.36
